,Weight,Cap_Group,Sector
DORM,0.0495,Small/Mid-Cap,Consumer Cyclical
URBN,0.0495,Small/Mid-Cap,Consumer Cyclical
FOUR,0.0495,Small/Mid-Cap,Technology
IDCC,0.0495,Small/Mid-Cap,Technology
COCO,0.0495,Small/Mid-Cap,Consumer Defensive
MSA,0.0495,Small/Mid-Cap,Industrials
OLLI,0.0495,Small/Mid-Cap,Consumer Defensive
PLNT,0.0495,Small/Mid-Cap,Consumer Cyclical
SMR,0.0495,Small/Mid-Cap,Industrials
300750.SZ,0.0405,Large-Cap,Industrials
PLTR,0.0405,Large-Cap,Technology
OKLO,0.0405,Large-Cap,Utilities
AWI,0.0327525,Small/Mid-Cap,Industrials
TSLA,0.0135,Large-Cap,Consumer Cyclical
UVSP,0.011,Small/Mid-Cap,Financial Services
DUOL,0.011,Small/Mid-Cap,Technology
VYM,0.009,Large-Cap,ETF
MSFT,0.009,Large-Cap,Technology
BURL,0.009,Large-Cap,Consumer Cyclical
AZN,0.009,Large-Cap,Healthcare
AMZN,0.009,Large-Cap,Consumer Cyclical
AMD,0.009,Large-Cap,Technology
ALB,0.009,Large-Cap,Basic Materials
DOV,0.009,Large-Cap,Industrials
NVDA,0.009,Large-Cap,Technology
PFE,0.009,Large-Cap,Healthcare
ETN,0.009,Large-Cap,Industrials
F,0.009,Large-Cap,Consumer Cyclical
AAPL,0.009,Large-Cap,Technology
TSM,0.009,Large-Cap,Technology
FSLR,0.009,Large-Cap,Technology
JNJ,0.009,Large-Cap,Healthcare
GOOGL,0.009,Large-Cap,Communication Services
T,0.009,Large-Cap,Communication Services
RSI,0.0029975,Small/Mid-Cap,Consumer Cyclical
LMND,0.00275,Small/Mid-Cap,Financial Services
YORW,0.00275,Small/Mid-Cap,Utilities
ENS,0.00275,Small/Mid-Cap,Industrials
GATX,0.00275,Small/Mid-Cap,Industrials
DGICA,0.00275,Small/Mid-Cap,Financial Services
CUBE,0.00275,Small/Mid-Cap,Real Estate
IBAB.BR,0.00275,Small/Mid-Cap,Healthcare
COUR,0.00275,Small/Mid-Cap,Consumer Defensive
MGM,0.00275,Small/Mid-Cap,Consumer Cyclical
CHPT,0.00275,Small/Mid-Cap,Consumer Cyclical
AXTA,0.00275,Small/Mid-Cap,Basic Materials
RICOY,0.00275,Small/Mid-Cap,Industrials
SLDP,0.00275,Small/Mid-Cap,Consumer Cyclical
VITL,0.00275,Small/Mid-Cap,Consumer Defensive
WRBY,0.00275,Small/Mid-Cap,Healthcare
WSFS,0.00275,Small/Mid-Cap,Financial Services
AAL,0.00275,Small/Mid-Cap,Industrials
LRLCY,0.00225,Large-Cap,Consumer Defensive
RIVN,0.00225,Large-Cap,Consumer Cyclical
PWR,0.00225,Large-Cap,Industrials
PPL,0.00225,Large-Cap,Utilities
