,Weight,Cap_Group,Sector
DORM,0.0495,Small/Mid-Cap,Consumer Cyclical
URBN,0.0495,Small/Mid-Cap,Consumer Cyclical
FOUR,0.0495,Small/Mid-Cap,Technology
IDCC,0.0495,Small/Mid-Cap,Technology
COCO,0.0495,Small/Mid-Cap,Consumer Defensive
MSA,0.0495,Small/Mid-Cap,Industrials
OLLI,0.0495,Small/Mid-Cap,Consumer Defensive
PLNT,0.0495,Small/Mid-Cap,Consumer Cyclical
SMR,0.0495,Small/Mid-Cap,Industrials
300750.SZ,0.0405,Large-Cap,Industrials
PLTR,0.0405,Large-Cap,Technology
OKLO,0.0405,Large-Cap,Utilities
AWI,0.032752500000000004,Small/Mid-Cap,Industrials
TSLA,0.0135,Large-Cap,Consumer Cyclical
UVSP,0.011000000000000001,Small/Mid-Cap,Financial Services
DUOL,0.011000000000000001,Small/Mid-Cap,Technology
TSM,0.009000000000000001,Large-Cap,Technology
T,0.009000000000000001,Large-Cap,Communication Services
GOOGL,0.009000000000000001,Large-Cap,Communication Services
JNJ,0.009000000000000001,Large-Cap,Healthcare
FSLR,0.009000000000000001,Large-Cap,Technology
PFE,0.009000000000000001,Large-Cap,Healthcare
AAPL,0.009000000000000001,Large-Cap,Technology
F,0.009000000000000001,Large-Cap,Consumer Cyclical
ETN,0.009000000000000001,Large-Cap,Industrials
VYM,0.009000000000000001,Large-Cap,ETF
NVDA,0.009000000000000001,Large-Cap,Technology
DOV,0.009000000000000001,Large-Cap,Industrials
ALB,0.009000000000000001,Large-Cap,Basic Materials
AMD,0.009000000000000001,Large-Cap,Technology
AMZN,0.009000000000000001,Large-Cap,Consumer Cyclical
AZN,0.009000000000000001,Large-Cap,Healthcare
BURL,0.009000000000000001,Large-Cap,Consumer Cyclical
MSFT,0.009000000000000001,Large-Cap,Technology
RSI,0.0029975,Small/Mid-Cap,Consumer Cyclical
AAL,0.0027500000000000003,Small/Mid-Cap,Industrials
WSFS,0.0027500000000000003,Small/Mid-Cap,Financial Services
WRBY,0.0027500000000000003,Small/Mid-Cap,Healthcare
VITL,0.0027500000000000003,Small/Mid-Cap,Consumer Defensive
SLDP,0.0027500000000000003,Small/Mid-Cap,Consumer Cyclical
RICOY,0.0027500000000000003,Small/Mid-Cap,Industrials
AXTA,0.0027500000000000003,Small/Mid-Cap,Basic Materials
MGM,0.0027500000000000003,Small/Mid-Cap,Consumer Cyclical
CHPT,0.0027500000000000003,Small/Mid-Cap,Consumer Cyclical
LMND,0.0027500000000000003,Small/Mid-Cap,Financial Services
COUR,0.0027500000000000003,Small/Mid-Cap,Consumer Defensive
IBAB.BR,0.0027500000000000003,Small/Mid-Cap,Healthcare
CUBE,0.0027500000000000003,Small/Mid-Cap,Real Estate
DGICA,0.0027500000000000003,Small/Mid-Cap,Financial Services
